% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
584	1	0	29	0	28	9422	0	1	1	0
585	1	0	66	0	28	9422	0	1	1	0
586	1	0	28	0	28	4587	0	1	0	0
586	1	0	46	0	28	4587	0	1	1	0
587	1	0	1	0	28	9422	0	1	1	0
588	1	0	9	0	28	3062	0	1	1	0
588	1	0	28	0	28	3062	0	1	0	0
588	1	0	45	0	28	3062	0	1	1	0
589	1	0	19	0	28	9422	0	1	1	0
590	1	0	11	0	28	4587	0	1	1	0
590	1	0	45	0	28	4587	0	1	0	0
591	1	0	22	0	28	9422	0	1	1	0
592	1	0	49	0	28	9422	0	1	1	0
594	1	0	16	0	28	9422	0	1	1	0
596	1	0	68	0	28	9422	0	1	1	0
597	1	0	7	0	28	9422	0	1	1	0
599	1	0	52	0	28	9422	0	1	1	0
600	1	0	33	0	28	9422	0	1	1	0
602	1	0	42	0	28	4587	0	1	1	0
602	1	0	44	0	28	4587	0	1	0	0
603	1	0	32	0	28	9422	0	1	1	0
604	1	0	14	0	28	4587	0	1	1	0
604	1	0	44	0	28	4587	0	1	0	0
606	1	0	61	0	28	9422	0	1	1	0
607	1	0	58	0	28	4587	0	1	1	0
607	1	0	63	0	28	4587	0	1	0	0
608	1	0	59	0	28	9422	0	1	1	0
609	1	0	26	0	28	4587	0	1	1	0
609	1	0	63	0	28	4587	0	1	0	0
611	1	0	64	0	28	9422	0	1	1	0
612	1	0	4	0	28	9422	0	1	1	0
613	1	0	1	0	28	4587	0	1	1	0
613	1	0	66	0	28	4587	0	1	0	0
614	1	0	15	0	28	9422	0	1	1	0
615	1	0	29	0	28	4587	0	1	1	0
615	1	0	66	0	28	4587	0	1	0	0
619	1	0	11	0	28	4587	0	1	1	0
619	1	0	22	0	28	4587	0	1	0	0
620	1	0	10	0	28	9422	0	1	1	0
621	1	0	22	0	28	4587	0	1	0	0
621	1	0	46	0	28	4587	0	1	1	0
623	1	0	49	0	28	9422	0	1	1	0
624	1	0	68	0	28	9422	0	1	1	0
625	1	0	28	0	28	9422	0	1	1	0
626	1	0	16	0	28	9422	0	1	1	0
627	1	0	7	0	28	4587	0	1	1	0
627	1	0	52	0	28	4587	0	1	0	0
631	1	0	42	0	28	9422	0	1	1	0
632	1	0	12	0	28	9422	0	1	1	0
633	1	0	32	0	28	9422	0	1	1	0
634	1	0	44	0	28	4587	0	1	1	0
634	1	0	61	0	28	4587	0	1	0	0
636	1	0	58	0	28	9422	0	1	1	0
637	1	0	59	0	28	9422	0	1	1	0
638	1	0	26	0	28	9422	0	1	1	0
639	1	0	14	0	28	9422	0	1	1	0
640	1	0	63	0	28	9422	0	1	1	0
642	1	0	4	0	28	9422	0	1	1	0
643	1	0	29	0	28	9422	0	1	1	0
644	1	0	66	0	28	9422	0	1	1	0
645	1	0	10	0	28	9422	0	1	1	0
646	1	0	9	0	28	9422	0	1	1	0
647	1	0	19	0	28	9422	0	1	1	0
648	1	0	11	0	28	9422	0	1	1	0
649	1	0	46	0	28	4587	0	1	0	0
649	1	0	65	0	28	4587	0	1	1	0
653	1	0	22	0	28	4587	0	1	1	0
653	1	0	28	0	28	4587	0	1	0	0
654	1	0	64	0	28	9422	0	1	1	0
655	1	0	28	0	28	4587	0	1	0	0
